,daily_return
0,0.0
1,-0.00828351828195839
2,-0.005752839104505303
3,-0.010926388413945776
4,-0.008154091393027252
5,-0.0019441106937398978
6,-0.005878438376820561
7,-0.0016256251239067376
8,-0.0002592063678462653
9,0.0015086718895993556
10,0.009692262652186923
11,0.011165460759423596
12,0.006513969748594306
13,0.007251915855893909
14,0.00536511936314521
15,-0.000560864143380857
16,-0.014621338805480444
17,-0.007396635385290451
18,-0.010356318215574256
19,-0.005363833011754249
20,-0.02399088915746117
21,-0.018512337005662904
22,-0.004171452665705178
23,0.010226176907275564
24,0.012730359182239859
25,0.004214967040857109
26,0.01056832092418003
27,0.011074220254806422
28,0.017507053862872768
29,0.013435403123488676
30,0.012872221404357731
31,0.007163229537960447
32,0.011189690572079858
33,0.008074096268499531
34,0.0010626117836860516
35,-0.030240676287675128
36,-0.057687975742634845
37,-0.06257774763342439
38,-0.10221440472523413
39,-0.11403580117054657
40,-0.07193902745072478
41,-0.09919075858055959
42,-0.05852505427861243
43,-0.08693106098684489
44,-0.09530005478741466
45,-0.1600111990192603
46,-0.11951195802460235
47,-0.16642944157490547
48,-0.24991856220105357
49,-0.17649087310927325
50,-0.27200296158870496
51,-0.23147833488558067
52,-0.27272348370814925
53,-0.26943143347706733
54,-0.29963650601317127
55,-0.3178824713019718
56,-0.24492660417700496
57,-0.23400336820896794
58,-0.1849509071025771
59,-0.2156983804723701
60,-0.1877576625081414
61,-0.20216106933907163
62,-0.23624341670651405
63,-0.21579661337490708
64,-0.22745436997175272
65,-0.17290414658898845
66,-0.17350051751165707
67,-0.14786067057385088
68,-0.13578062217685738
69,-0.14804629858154894
70,-0.12845542772858842
71,-0.14709896256248445
72,-0.14777529047684435
73,-0.11808633823127868
74,-0.13790698869201456
75,-0.1625506021213462
76,-0.148192435298792
77,-0.14713536076962286
78,-0.1397114791200671
79,-0.12366743945934755
80,-0.12427067040605622
81,-0.10518763259335473
82,-0.11951617180290863
83,-0.14259059489508985
84,-0.14310305668456091
85,-0.1401358356244219
86,-0.14878429915105773
87,-0.1401426697037801
88,-0.1213103020595463
89,-0.1254132040321827
90,-0.14456313544092592
91,-0.1643283826178059
92,-0.15089195891309914
93,-0.14914060354698244
94,-0.1154148177295593
95,-0.12945530090161605
96,-0.1138321897330754
97,-0.11819604561556685
98,-0.11835749444377208
99,-0.09885022200214588
100,-0.07849555049485002
101,-0.08487379302433096
102,-0.08326287119559794
103,-0.08034884413629739
104,-0.07255893071811015
105,-0.052346736902338487
106,-0.04915568810634652
107,-0.022716345053857778
108,-0.00655572361394563
109,-0.020201571657973205
110,-0.030247155667165293
111,-0.09553954889402339
112,-0.08001130698604375
113,-0.07374992787722079
114,-0.05507183157728124
115,-0.061452230983599865
116,-0.060825772580557325
117,-0.06629124018720889
118,-0.06439310541689336
119,-0.0624787289078379
120,-0.08731296960373458
121,-0.07620356676403661
122,-0.10054204519007315
123,-0.08212083039043094
124,-0.07277238496088989
125,-0.07375222340439402
126,-0.06957967821801603
127,-0.0546574595465289
128,-0.06800752837121193
129,-0.06246253784691047
130,-0.07621797088096749
131,-0.06216915227926112
132,-0.06420743272694485
133,-0.046324970060772075
134,-0.03793848440884651
135,-0.04092298508586878
136,-0.04095519362596001
137,-0.0426251554033551
138,-0.03557527730265708
139,-0.031042140425508458
140,-0.03987158742761554
141,-0.04980812962022674
142,-0.04698028120852871
143,-0.05246830907784128
144,-0.04828912367476923
145,-0.05775870717320675
146,-0.05800444326013898
147,-0.050822413405925304
148,-0.04721233255848678
149,-0.03355097489278158
150,-0.028788365742318245
151,-0.025072717239253417
152,-0.013537271619372127
153,-0.01603431224855245
154,-0.007411950553785185
155,-0.013410796116329116
156,-0.01158416841875487
157,-0.0157298121507502
158,-0.017118268582056673
159,-0.021267845409592145
160,-0.021379551784905804
161,-0.019151670691727074
162,-0.0058972559387213686
163,-0.003346761641607632
164,0.0059351570538639375
165,0.01505055164637703
166,0.020625566045708865
167,0.012638064585420938
168,0.017654117292033034
169,0.035634096206800026
170,0.01060070689117465
171,0.008224248625701591
172,-0.01338239051430179
173,-0.0009740622911749153
174,-0.014899183189573506
175,-0.008634935200911409
176,0.0017545587376572858
177,0.00035799254677959524
178,0.003841237087753413
179,-7.300941818066953e-05
180,-0.008899289765093021
181,-0.02766843825552001
182,-0.022974398837526833
183,-0.04100639093105707
184,-0.03944472098568996
185,-0.027926816173811875
186,-0.012524217639770074
187,-0.018682093192947224
188,-0.008140315333402315
189,-0.00833468988116326
190,-0.012506276313613784
191,0.0034704999508294865
192,-0.00913971528383084
193,0.00876890017349341
194,0.017366109274081554
195,0.020495260062620035
196,0.03016478725641636
197,0.023341581115322807
198,0.018483015049209683
199,0.02003700828639232
200,0.023012078896420318
201,0.008709020987474503
202,0.012502956264411669
203,0.009401596403399326
204,0.017897172355953783
205,0.014221347588906585
206,-0.008630012781339236
207,-0.01888429242286971
208,-0.05095873470928225
209,-0.046450782809018154
210,-0.04968139377539793
211,-0.033931609797312134
212,-0.015112200213315607
213,-0.009190516065464283
214,0.01002843284875099
215,0.008325494442624537
216,0.05014294976011846
217,0.06319972802631146
218,0.060085710161239314
219,0.047886563277117045
220,0.06661515513508598
221,0.08720720315522112
222,0.07960425649618519
223,0.0661604226772301
224,0.06820737624162021
225,0.06181762033352478
226,0.0753714586897758
227,0.09429553163480375
228,0.08875491747222419
229,0.0887743934980143
230,0.07981361895596484
231,0.08883364098587143
232,0.0967671626343205
233,0.10301108847900742
234,0.11343873158259599
235,0.10621904269595972
236,0.11020354444759395
237,0.10750423896058248
238,0.10598954313997799
239,0.11266188662190046
240,0.10350369767774037
241,0.11637359344101617
242,0.11325725722281965
243,0.11732065991656326
244,0.11160483120453146
245,0.11097938719363909
246,0.10346044131030041
247,0.109043132789991
248,0.11102869334904342
249,0.11841178610370595
250,0.11663761055015587
251,0.11878884634407871
252,0.12637217193355088
