,daily_return
0,0.0
1,-0.008218900392358619
2,-0.005238463419289241
3,-0.010613149798003318
4,-0.007831115743439643
5,-0.0016067497280635168
6,-0.005537953694698672
7,-0.0011630921242822279
8,3.818340872951964e-05
9,0.0019865657519215763
10,0.01029715589878144
11,0.012099710426896726
12,0.007758717030637019
13,0.008523391392340818
14,0.006603376492618773
15,0.0006125754501602465
16,-0.013225169421712146
17,-0.0060505805309760685
18,-0.008944847286948221
19,-0.004037049139307025
20,-0.022640179018250328
21,-0.017071555551549378
22,-0.0027316908227935643
23,0.012023298719436859
24,0.014256396767801105
25,0.005807922023551848
26,0.011998440530116339
27,0.012644522457258889
28,0.01929002840865035
29,0.01532690345130372
30,0.014777505577536765
31,0.009021687808875134
32,0.012899581654619574
33,0.009891396025107024
34,0.002980500739467873
35,-0.02834704058852522
36,-0.05594223085432515
37,-0.06088475278598615
38,-0.1005812567552481
39,-0.11246199131196222
40,-0.07026957085851993
41,-0.09756024861733303
42,-0.05679124068681962
43,-0.085281405071438
44,-0.09382889716907239
45,-0.15896226714236572
46,-0.11841109867116806
47,-0.16545306839298268
48,-0.24906552069742494
49,-0.17572793482759586
50,-0.27138045732585425
51,-0.23083035125060958
52,-0.2722726828365486
53,-0.269009541191922
54,-0.29919779921974
55,-0.31743966288718906
56,-0.2440756944915914
57,-0.23294396434722653
58,-0.1835550225993977
59,-0.21425257283395138
60,-0.18629211873162888
61,-0.20086375160927294
62,-0.2352594429819359
63,-0.21482728799480777
64,-0.22647777680823022
65,-0.17190559644451942
66,-0.17305503167725234
67,-0.14732486802181743
68,-0.1359568787073926
69,-0.14802834938558607
70,-0.1278532968546382
71,-0.14691442568627944
72,-0.1466100557649478
73,-0.11791845218267827
74,-0.13671419088917958
75,-0.1616056298376709
76,-0.14646204979948707
77,-0.1457555835998976
78,-0.1377794047955646
79,-0.1233307655725876
80,-0.12442272246487796
81,-0.10648244731722678
82,-0.12004086656155755
83,-0.1430457632004445
84,-0.14277797832257655
85,-0.13903089541215774
86,-0.147698366712519
87,-0.14018884342257165
88,-0.12155543428010929
89,-0.12512926516255574
90,-0.14381635508892532
91,-0.16359168660534018
92,-0.15032292750898224
93,-0.14868694789041892
94,-0.11583979331805616
95,-0.12971872895260683
96,-0.11486188155627075
97,-0.11880745914020485
98,-0.11897619000416426
99,-0.0995310340561687
100,-0.07900875271639729
101,-0.0844452624670079
102,-0.08257433322821306
103,-0.08008115946623018
104,-0.07197240319476816
105,-0.05267808007561903
106,-0.05027137609642185
107,-0.024041374590760056
108,-0.008359127081688844
109,-0.02122143390991238
110,-0.030372313727751066
111,-0.09461741392652467
112,-0.07949063487416197
113,-0.07341596231671987
114,-0.05464879987490745
115,-0.060785114167686505
116,-0.06036327089396232
117,-0.06496716159162241
118,-0.06322081511413091
119,-0.06144651128560419
120,-0.08564878698355083
121,-0.0745113281177282
122,-0.09880820178964478
123,-0.08037885382408572
124,-0.07096424191855688
125,-0.07211388546524788
126,-0.06783081906514166
127,-0.052975265388370496
128,-0.06603071809869665
129,-0.060768232057867855
130,-0.0744338144479968
131,-0.06046092573868933
132,-0.06217084817823937
133,-0.04430696654658861
134,-0.03628557362039453
135,-0.03873763989351264
136,-0.03844657633952875
137,-0.039571281905923295
138,-0.03294998738335342
139,-0.028268819955561852
140,-0.037163343538298976
141,-0.04727377599082827
142,-0.04429978512550692
143,-0.04968394893616712
144,-0.04528294307503633
145,-0.054491890686594546
146,-0.054448450238047896
147,-0.04701420844562754
148,-0.043427246786781004
149,-0.031788075446458786
150,-0.02731506761052893
151,-0.023303639826233957
152,-0.010939964133747093
153,-0.014208548162254475
154,-0.005728194610143844
155,-0.011963232878124841
156,-0.010126558944442143
157,-0.013831681426586306
158,-0.014944793462462802
159,-0.01897017448145355
160,-0.019033718633919894
161,-0.016464552468422933
162,-0.0036323621581407783
163,-0.0010293601081250436
164,0.008699045677607709
165,0.017629354287605814
166,0.022672543296908154
167,0.015771779061959146
168,0.020861537643701356
169,0.03845035445281675
170,0.01299509167259627
171,0.010347815362707014
172,-0.011872430255991828
173,0.000927756255709733
174,-0.01329945845711189
175,-0.006960815216090155
176,0.003506748900782952
177,0.002283584017216178
178,0.005683204726240287
179,0.0021448569559281427
180,-0.00678924973371664
181,-0.02532302598510261
182,-0.02060894792693002
183,-0.03863842634970294
184,-0.03711921177931665
185,-0.025561582396880556
186,-0.010087125436984201
187,-0.01622857437202041
188,-0.005547931769027459
189,-0.00572561497187507
190,-0.009920286658695265
191,0.006126750042581897
192,-0.006310704016965207
193,0.011637930227793358
194,0.020293271759662446
195,0.023227809672095034
196,0.033265824770913666
197,0.025549287958914535
198,0.02088402696351621
199,0.022497454323854527
200,0.025522217240231626
201,0.011303060307053414
202,0.015055569654258028
203,0.011896214791697446
204,0.020179191372858396
205,0.016389822672365995
206,-0.006200640393471013
207,-0.016471466159934667
208,-0.048563262034599486
209,-0.04405041010389299
210,-0.04729972612971256
211,-0.031598592986373686
212,-0.012747855388299034
213,-0.007037580671741761
214,0.012346735701493694
215,0.010580965683471888
216,0.04901872912830174
217,0.061764591928124
218,0.06033789976128889
219,0.04843007897698626
220,0.06696755781340036
221,0.08584956276216804
222,0.07747454393811637
223,0.06430422895589327
224,0.06699868294983458
225,0.06067746847800315
226,0.07315521609579245
227,0.09117937144033772
228,0.08616241697703053
229,0.08657376940933892
230,0.07789436739638633
231,0.08672168200515196
232,0.09291605046806617
233,0.09915083637892197
234,0.10943423693269039
235,0.10218128296480256
236,0.10621052930871944
237,0.10327491900417662
238,0.10153170917698828
239,0.1040105519999941
240,0.09604117202467854
241,0.10860839213128193
242,0.10568393967169709
243,0.10999329501179034
244,0.10446436404093462
245,0.10401049108152383
246,0.09649565764011103
247,0.10157228813870756
248,0.10360770525484386
249,0.11049529173341477
250,0.10879505162909875
251,0.10993895416389665
252,0.11777147624277884
