account_rewards,date
6614.139024734497,2017-01-03
-2637.9456757621374,2017-01-04
5510.369837600738,2017-01-05
-1230.1401039278135,2017-01-06
2074.2964924355038,2017-01-09
2320.87451795768,2017-01-10
-5812.931508623064,2017-01-11
1072.0343615417369,2017-01-12
-4641.879474481568,2017-01-13
2243.3480668393895,2017-01-17
-4310.764139854582,2017-01-18
2021.8343774070963,2017-01-19
-2739.67102681729,2017-01-20
827.9153113747016,2017-01-23
10822.132510623895,2017-01-24
439.51244753273204,2017-01-25
4019.442629783647,2017-01-26
-7842.144224163145,2017-01-27
-3439.3784007187933,2017-01-30
2679.9824231187813,2017-01-31
-1660.5318284835666,2017-02-01
16481.46264588926,2017-02-02
-2476.478931785561,2017-02-03
1718.0380910185631,2017-02-06
3263.331765947398,2017-02-07
5480.334452453535,2017-02-08
5095.247437612619,2017-02-09
6652.049697092036,2017-02-10
4740.441438735928,2017-02-13
9190.046104587615,2017-02-14
755.3943125228398,2017-02-15
3851.8022189408075,2017-02-16
7189.408577001421,2017-02-17
615.7363765183836,2017-02-21
3301.338371620048,2017-02-22
1117.2115991956089,2017-02-23
2360.2300447616726,2017-02-24
-801.4459767874796,2017-02-27
14573.859244378982,2017-02-28
-2148.5666582507547,2017-03-01
2950.222124851076,2017-03-02
-3681.2776452463586,2017-03-03
-5522.4654588776175,2017-03-06
-1198.8447649574373,2017-03-07
2373.7733449095394,2017-03-08
5174.488727081334,2017-03-09
-1900.0957118473016,2017-03-10
-4803.855503747938,2017-03-13
7239.519870754331,2017-03-14
-3963.178281955654,2017-03-15
-18463.268625335768,2017-03-16
-2726.6407280310523,2017-03-17
-14222.127045604866,2017-03-20
485.73218535236083,2017-03-21
-1815.7584287985228,2017-03-22
-3489.5774453927297,2017-03-23
-7582.79220394697,2017-03-24
5761.5096699865535,2017-03-27
-2606.2784479674883,2017-03-28
4486.327678611735,2017-03-29
-2624.1465980110224,2017-03-30
-929.2786534498446,2017-03-31
