date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2018-04-05,100,-89,-63,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,-89,-100,13,100,-57,-47,0,-36,100,0
2018-04-06,100,100,-83,-1,0,-100,0,54,0,-100,0,0,-37,0,0,46,100,-100,-57,-92,100,93,-81,-69,-86,48,70,-100,0
2018-04-09,-79,100,88,-23,0,2,2,82,0,0,0,74,-11,100,100,-46,-26,-80,-100,-19,-1,-100,-44,-20,11,-3,-61,0,100
2018-04-10,-59,-86,-87,-19,0,-64,-2,2,51,33,0,99,100,100,100,0,-27,100,97,100,73,100,43,-100,-100,61,-42,100,100
2018-04-11,3,-93,63,-87,0,-13,19,-100,-51,100,0,-100,42,35,9,0,-43,-25,-37,-100,-70,91,-61,-100,100,100,100,9,50
2018-04-12,-22,0,0,58,0,0,-19,-54,0,-5,100,-22,-100,3,-75,100,-4,0,100,0,0,-49,-100,-100,100,0,-82,0,-10
2018-04-13,1,-46,100,69,0,-32,0,0,0,0,0,0,0,-11,-77,100,0,-71,0,-100,-8,-10,0,0,-18,0,0,0,0
2018-04-16,-44,-28,94,0,0,100,0,0,0,-100,96,-39,100,0,0,-100,0,-81,100,-100,0,-100,-100,-100,100,0,3,100,-87
2018-04-17,100,0,0,0,0,0,100,-6,100,-3,-89,0,61,0,0,0,0,0,-100,-54,-3,-34,0,-54,100,0,-57,0,0
2018-04-18,-100,-100,-100,-100,40,90,-100,-90,-100,-25,38,-12,37,-17,-57,12,100,-14,100,0,-100,72,-8,0,-51,-95,-48,55,83
2018-04-19,0,-358,-612,-497,-40,-583,0,-588,0,0,-145,0,-792,-210,0,-112,-100,-329,-746,-146,-491,-676,-349,0,-709,-711,-447,-864,-236
2018-04-20,85,38,0,0,11,100,0,0,37,14,19,60,3,100,28,0,0,0,100,1,100,37,0,66,0,100,100,0,52
2018-04-23,59,34,28,100,83,-100,88,21,50,-14,-2,73,-3,-100,-28,0,0,0,26,4,-92,100,74,-56,0,22,89,100,-52
2018-04-24,4,-49,-28,-28,-94,100,-69,100,-87,20,73,6,100,20,0,33,0,0,-38,-5,19,69,-35,-10,0,100,100,100,100
2018-04-25,7,-23,0,-72,100,-100,49,-23,100,-20,43,100,-100,100,46,57,100,0,-88,0,-15,100,-39,0,66,-100,30,100,-55
