,daily_return
0,0.0
1,-0.008264723600311719
2,-0.0052972353696846275
3,-0.010673798288543423
4,-0.00779068880940792
5,-0.001611683721693069
6,-0.005545870492993377
7,-0.0011771003148590697
8,4.4973089024180624e-05
9,0.0019090437767212975
10,0.010271203452630884
11,0.012077261125700511
12,0.007726909993897024
13,0.008530024246775847
14,0.006633355684652953
15,0.0006707262882108544
16,-0.013212662640057382
17,-0.006008269548419487
18,-0.00893249968995835
19,-0.004015093802859471
20,-0.02267484930958097
21,-0.017123612173015834
22,-0.0027701564883576557
23,0.01200488741336847
24,0.014168482434755214
25,0.005627935395431605
26,0.011794634432439777
27,0.012520572406938602
28,0.01921277837081936
29,0.01513042266001463
30,0.014533543545199867
31,0.008704918055909117
32,0.012613981347437964
33,0.009540667816498871
34,0.00264138823340776
35,-0.028704959966664334
36,-0.056252656876099705
37,-0.061194095477906996
38,-0.10087871517857216
39,-0.11275296126361767
40,-0.07046564243449294
41,-0.09770041245220862
42,-0.05701197591358964
43,-0.08546750455181962
44,-0.09402496527156434
45,-0.1590190529011104
46,-0.1185185680343599
47,-0.1657008001985677
48,-0.24942586703661462
49,-0.17637376121167436
50,-0.2720392417927555
51,-0.23133868692285764
52,-0.2726206504395453
53,-0.2695271099253521
54,-0.29968547163818904
55,-0.31755949640645365
56,-0.24427578983587528
57,-0.2331391262206325
58,-0.18371038232286707
59,-0.2142899727351525
60,-0.18634035873237031
61,-0.20091107846619183
62,-0.23530520641801733
63,-0.2149896953562821
64,-0.22664046397442694
65,-0.17204971873877883
66,-0.17312963250087055
67,-0.147464235237044
68,-0.13632327819650936
69,-0.14832267416860778
70,-0.1281611394363923
71,-0.14731609389172917
72,-0.14701176896049517
73,-0.1184603145608476
74,-0.1372684860793515
75,-0.1621296921509906
76,-0.14683313561106304
77,-0.14616636177496123
78,-0.1381538669885396
79,-0.12362119923557857
80,-0.12464926490563588
81,-0.1064976371905012
82,-0.12015354286446867
83,-0.14317041391629015
84,-0.14292563784081402
85,-0.1391644239501958
86,-0.1478153764856578
87,-0.14033503752295862
88,-0.12170227599405692
89,-0.12533782265597937
90,-0.14402513868866962
91,-0.16372160002980307
92,-0.15042990771427167
93,-0.14876670145099635
94,-0.11597552168918979
95,-0.1298396079000923
96,-0.11491061684593273
97,-0.11897400899807553
98,-0.11917731212206895
99,-0.09959362306319419
100,-0.07893015629041666
101,-0.08458939922145903
102,-0.08267178583643642
103,-0.08023638523601107
104,-0.07209640101543735
105,-0.052775843888942964
106,-0.050300796580454166
107,-0.024116581684420546
108,-0.008545050480745942
109,-0.021305256058903765
110,-0.030537354587987675
111,-0.09486213836007906
112,-0.07965401348151357
113,-0.07361194276333816
114,-0.05482605597626544
115,-0.06102906987469081
116,-0.06070524844219438
117,-0.06546382075523349
118,-0.06365374857192185
119,-0.06180879799179273
120,-0.08603893739273916
121,-0.07488008181221484
122,-0.09923636801204272
123,-0.0808882831475991
124,-0.071416969633323
125,-0.07257986671482464
126,-0.06833851665813673
127,-0.053446117324047915
128,-0.06657857055794636
129,-0.061289445761525285
130,-0.07488551846762048
131,-0.060931677945690765
132,-0.0626485165803703
133,-0.044722350463450966
134,-0.03671626098878322
135,-0.03917179338859289
136,-0.038942722422143916
137,-0.04014662531440816
138,-0.033435170509340306
139,-0.028736051677224705
140,-0.0376285298801039
141,-0.04803004241522957
142,-0.0450197226255622
143,-0.05048914753206102
144,-0.04611106370002316
145,-0.0553083617775747
146,-0.055169519994594296
147,-0.047786038361554595
148,-0.04406707622066097
149,-0.03228264274542281
150,-0.027668881640818155
151,-0.023761709217592686
152,-0.01138797962270055
153,-0.01457021758619581
154,-0.00607174034840996
155,-0.012403777533369742
156,-0.010592790502339855
157,-0.014322916659160079
158,-0.015452759508374325
159,-0.01949614113615461
160,-0.01952978913140835
161,-0.016907164778444672
162,-0.004084023652331736
163,-0.0016305924215193057
164,0.007886534204476714
165,0.016695025151425513
166,0.021799374535780958
167,0.014980063589956183
168,0.020140704078446037
169,0.037678725407665814
170,0.01225047761570286
171,0.009644523102651181
172,-0.012437510527488094
173,0.00033144854445943395
174,-0.013853801912073638
175,-0.007517007251218177
176,0.0029538719745827446
177,0.0016964902667544468
178,0.005135422203104145
179,0.0015944168503723155
180,-0.007347051109774627
181,-0.02588432368710103
182,-0.0211383977882329
183,-0.0390337408073248
184,-0.03753187816573689
185,-0.025949243892092744
186,-0.010507828164773247
187,-0.016671774997695787
188,-0.006022531579599422
189,-0.006328139233816699
190,-0.010467190185446063
191,0.0055643734354438035
192,-0.00680548008937043
193,0.011112140300429951
194,0.019737125451815496
195,0.022738212862052576
196,0.032955264699222386
197,0.02530339330664977
198,0.02073927691848909
199,0.02239491680338812
200,0.025388796624929322
201,0.011149876963821193
202,0.014917628172146813
203,0.011762229677862557
204,0.020106334897942002
205,0.016083685629506128
206,-0.006482272078783935
207,-0.016742823663448814
208,-0.0488888166692093
209,-0.04444284923372133
210,-0.04771608296904983
211,-0.03196781191169418
212,-0.013074480276195621
213,-0.007228758984862083
214,0.01212595271912087
215,0.010349684100444012
216,0.048960110961719705
217,0.06166298690884986
218,0.06028426972447498
219,0.048302291567425826
220,0.06673629191330144
221,0.08577489900966029
222,0.07748364248753603
223,0.06444404185924646
224,0.0671086060598165
225,0.06086299742137102
226,0.07344226393462239
227,0.09166184162533497
228,0.08651966107892295
229,0.08685132491933412
