,daily_return
0,0.0
1,-0.008180120946298941
2,-0.004897581240051907
3,-0.00913501501687719
4,-0.005575895592428992
5,-1.3725316572510415e-05
6,-0.0038777631524261613
7,-0.0011263253685274144
8,0.0007528271696948252
9,0.0020572720269507183
10,0.010017218283085327
11,0.010841770139550455
12,0.006660720834860134
13,0.006741291468149058
14,0.005165380957212307
15,-0.0017824862518207585
16,-0.016928193787258072
17,-0.011541083265275365
18,-0.016147042622039698
19,-0.012685348995495005
20,-0.02918768436941943
21,-0.024354784060318546
22,-0.00971487184560893
23,0.007108660544506762
24,0.00978948167287541
25,0.0007585808875061328
26,0.006249581016295247
27,0.006934992174645327
28,0.01525855235011675
29,0.012243924299619291
30,0.01074416705621628
31,0.006315258579228544
32,0.010182266538279583
33,0.0073819798658387725
34,0.0002388751213471263
35,-0.032001516531654284
36,-0.06167554810406939
37,-0.06675331831682974
38,-0.10447744776552303
39,-0.11592470201505323
40,-0.07504675423303853
41,-0.10444711303627474
42,-0.0642178966570649
43,-0.09333414624188607
44,-0.10025413729210664
45,-0.16435215982798967
46,-0.12636220332882142
47,-0.1739872357852088
48,-0.2591792593836616
49,-0.19068515907003236
50,-0.2821949852142227
51,-0.24322470630270343
52,-0.2810388861443385
53,-0.2763584690849449
54,-0.3091502134446956
55,-0.324790444121537
56,-0.25014244675055397
57,-0.23338840367498992
58,-0.18632517278723804
59,-0.21789904223303413
60,-0.19191235355521286
61,-0.2068080600672192
62,-0.2417215697358297
63,-0.22332361710022886
64,-0.23610822797035036
65,-0.1793473771282823
66,-0.18031506470636605
67,-0.1540934384883904
68,-0.1441517191656576
69,-0.15748313969835115
70,-0.1394519723906763
71,-0.15648468360348877
72,-0.1553825164338476
73,-0.12612699682764505
74,-0.14440951583046524
75,-0.16978481998027917
76,-0.1564911932492109
77,-0.15477864412522824
78,-0.14785075991644647
79,-0.13381536725536147
80,-0.13375272132866456
81,-0.11599208174060438
82,-0.12849037884784253
83,-0.15158142662776974
84,-0.1528855914481264
85,-0.14975839433295401
86,-0.15769858061706798
87,-0.14956270987596754
88,-0.13035235809947898
